"","Agency","Groundwater Site ID","SWOT Lake ID","Lag (days)","Correlation r","Distance (m)","Lake Soil","Groundwater Soil"
"1","USGS","254432080240401",7320019112,74,-0.506911810409403,882.8763124,"PEAT","PEAT"
"2","USGS","255030080221401",7320018952,-24,0.494870771409055,548.1655575,"PEAT","PEAT"
"3","USGS","252718080264901",7320020412,12,0.773077467867724,335.1853641,"LIMESTONE","LIMESTONE"
"4","USGS","254206080294701",7320017462,6,0.686299215167473,675.9996782,"LIMESTONE","PEAT"
"5","USGS","260405081414101",7320050142,0,0.664737629141999,101.8427262,"LIMESTONE","LIMESTONE"
"6","USGS","254340080203601",7320017382,58,-0.336809502330271,533.6422605,"LIMESTONE","LIMESTONE"
"7","USGS","254152080274501",7320014002,-43,-0.43321002709168,250.2748314,"LIMESTONE","LIMESTONE"
"8","USGS","254334080284401",7320020192,15,0.707254598920485,236.0338367,"PEAT","PEAT"
"9","USGS","254720080253002",7320017302,4,0.858801995015154,182.1411053,"PEAT","PEAT"
"10","USGS","261147080114501",7320018162,-3,0.598939843991323,152.2588045,"LIMESTONE","LIMESTONE"
"11","USGS","283249081053201",7320210752,31,0.852970882736814,107.5174458,"MED. FINE SAND AND SILT","MED. FINE SAND AND SILT"
"12","USGS","282623081153801",7320220182,89,-0.323940767881411,707.2126991,"MED. FINE SAND AND SILT","MED. FINE SAND AND SILT"
"13","USGS","282202081384602",7320211482,-11,0.913408872277478,100.9195195,"CLAYEY SAND","CLAYEY SAND"
"14","USGS","274812081190301",7320023912,5,0.767248384930034,694.3500406,"MED. FINE SAND AND SILT","MED. FINE SAND AND SILT"
"15","USGS","281558082264601",7320234752,10,0.58933011574244,594.2860752,"MED. FINE SAND AND SILT","MED. FINE SAND AND SILT"
"16","USGS","282531081095701",7320205812,0,0.770232930110202,325.6699585,"MED. FINE SAND AND SILT","MED. FINE SAND AND SILT"
"17","USGS","281714081093001",7320209002,0,0.90774088845697,142.1014941,"MED. FINE SAND AND SILT","MED. FINE SAND AND SILT"
"18","USGS","270137082235301",7320038182,-2,0.518783005487822,410.310257,"SHELLY SAND AND CLAY","SHELLY SAND AND CLAY"
"19","USGS","283249081053203",7320210752,-5,0.633793337871844,107.5174458,"MED. FINE SAND AND SILT","MED. FINE SAND AND SILT"
"20","USGS","282202081384601",7320211482,-15,0.883097305038612,100.9195195,"CLAYEY SAND","CLAYEY SAND"
"21","USGS","283249081053202",7320210752,8,0.744267370780534,107.5174458,"MED. FINE SAND AND SILT","MED. FINE SAND AND SILT"
"22","SJRWMD","19794579",7320235132,-6,0.938733690979912,958.8895177,"LIMESTONE","MED. FINE SAND AND SILT"
"23","SJRWMD","18593802",7320231092,-32,-0.761109233763846,951.1645231,"SHELLY SAND AND CLAY","SHELLY SAND AND CLAY"
"24","SJRWMD","18013659",7320200952,13,0.818825216879813,511.4558178,"SHELLY SAND AND CLAY","SHELLY SAND AND CLAY"
"25","SJRWMD","27354792",7320215632,0,0.675076592207475,449.6391206,"CLAYEY SAND","CLAYEY SAND"
"26","SJRWMD","19564474",7320228542,1,0.95060438637963,178.0625243,"CLAYEY SAND","CLAYEY SAND"
"27","SJRWMD","30392880",7320199392,14,0.910773561547364,29.3658324,"SHELLY SAND AND CLAY","SHELLY SAND AND CLAY"
"28","SJRWMD","14661279",7320221122,-12,0.869115287793309,230.7551012,"MED. FINE SAND AND SILT","MED. FINE SAND AND SILT"
